geocodenum,hsppl2000,parproper2000,parnonproper2000,aptpro2000,hspro2000,hsgeo2000,hi_ses_hs2000,low_ses_hs2000,hi_ses_sigungu2000,low_ses_sigungu2000,d_par_hs2000,d_par_sido2000,x_par_hs_low2000,x_par_sido_low2000,hsppl2005,parproper2005,parnonproper2005,aptpro2005,hspro2005,hsgeo2005,hi_ses_hs2005,low_ses_hs2005,hi_ses_sigungu2005,low_ses_sigungu2005,d_par_hs2005,d_par_sido2005,x_par_hs_low2005,x_par_sido_low2005,hsppl2010,parproper2010,parnonproper2010,aptpro2010,hspro2010,hsgeo2010,hi_ses_hs2010,low_ses_hs2010,hi_ses_sigungu2010,low_ses_sigungu2010,d_par_hs2010,d_par_sido2010,x_par_hs_low2010,x_par_sido_low2010,hsppl2015,parproper2015,parnonproper2015,aptpro2015,hspro2015,hsgeo2015,hi_ses_hs2015,low_ses_hs2015,hi_ses_sigungu2015,low_ses_sigungu2015,d_par_hs2015,d_par_sido2015,x_par_hs_low2015,x_par_sido_low2015,hsppl2020,parproper2020,parnonproper2020,aptpro2020,hspro2020,hsgeo2020,hi_ses_hs2020,low_ses_hs2020,hi_ses_sigungu2020,low_ses_sigungu2020,d_par_hs2020,d_par_sido2020,x_par_hs_low2020,x_par_sido_low2020,geo2
31100,1709,19.777647,30.25161,72.205971,27.794031,311001,51,224,338,517,.2823813,.31306788,.36078587,.16012496,1773,32.656513,26.170332,74.901299,25.098703,311002,498,253,579,464,.314845,.29831475,.48771363,.31341285,1516,25.197889,24.406332,78.100266,21.899736,311001,41,161,382,370,.32780528,.32383463,.43853572,.28288129,1287,28.826729,19.735819,79.331779,20.668221,311002,330,146,371,254,.31468472,.31937793,.51549846,.37296727,1265,30.671936,13.12253,79.051384,20.948616,311002,345,92,388,166,.3349584,.36484686,.60137445,.45672023,경기도 고양시
31110,135,45.185184,13.333333,69.629631,30.370371,311101,13,12,61,18,.45355192,.31306788,.64296299,.16012496,144,56.25,10.416667,71.527779,28.472221,311102,73,6,81,15,.50123459,.29831475,.65197319,.31341285,166,46.987953,13.855422,62.048191,37.951809,311102,59,5,78,23,.53901893,.32383463,.60228777,.28288129,199,55.276382,6.0301509,62.311558,37.688442,311102,81,3,110,12,.48636365,.31937793,.81343985,.37296727,261,60.91954,3.4482758,71.647507,28.352489,311102,121,2,159,9,.53878409,.36484686,.87539899,.45672023,경기도 과천시
31120,333,7.2072072,53.153152,49.84985,50.15015,311201,1,113,24,177,.59675139,.31306788,.10119078,.16012496,356,17.134832,38.483147,62.921349,37.078651,311201,7,82,61,137,.48378605,.29831475,.24596456,.31341285,306,11.764706,34.640522,69.607841,30.392157,311201,3,50,36,106,.38836479,.32383463,.22258711,.28288129,229,22.707424,31.004366,75.109169,24.890829,311201,3,35,52,71,.43526545,.31937793,.33121267,.37296727,238,22.689075,14.705882,84.453781,15.546219,311202,52,24,54,35,.27724868,.36484686,.5175246,.45672023,경기도 구리시
31130,664,6.3253012,53.463856,52.108433,47.891567,311301,12,215,42,355,.31991953,.31306788,.10160992,.16012496,769,14.174253,45.643692,68.790634,31.209362,311302,101,193,109,351,.37674797,.29831475,.21059026,.31341285,752,12.367022,41.223404,78.457443,21.542553,311302,88,208,93,310,.27526882,.32383463,.21485223,.28288129,832,16.947115,29.086538,81.730766,18.26923,311301,14,69,141,242,.18583319,.31937793,.35072404,.37296727,720,18.75,25.555555,83.75,16.25,311302,122,124,135,184,.22979066,.36484686,.39228731,.45672023,경기도 남양주시
31140,183,6.0109291,48.087433,58.469944,41.530056,311401,0,39,11,88,.44318181,.31306788,.10208333,.16012496,219,13.69863,49.315067,77.625572,22.37443,311402,30,76,30,108,.2962963,.29831475,.19916143,.31341285,256,6.640625,41.796875,82.421875,17.578125,311402,17,79,17,107,.26168224,.32383463,.13074377,.28288129,393,12.21374,30.025446,91.348602,8.6513996,311402,46,96,48,118,.144774,.31937793,.27908412,.37296727,345,14.492754,26.086956,92.173912,7.826087,311402,45,80,50,90,.011111111,.36484686,.35703704,.45672023,경기도 오산시
31150,725,6.3448277,47.862068,75.310349,24.689655,311501,3,112,46,347,.25754917,.31306788,.11317193,.16012496,781,13.700384,41.8694,75.672218,24.327785,311501,11,116,107,327,.25193632,.29831475,.23250061,.31341285,606,6.6006598,45.544556,74.092407,25.907591,311501,4,101,40,276,.26594204,.32383463,.12212116,.28288129,603,7.4626865,37.479271,78.938637,21.061359,311502,42,160,45,226,.22536874,.31937793,.15989774,.37296727,485,11.134021,33.195877,85.979378,14.020618,311502,50,118,54,161,.19300666,.36484686,.24086101,.45672023,경기도 시흥시
31160,580,13.793103,37.758621,76.206894,23.793104,311601,5,86,80,219,.33019406,.31306788,.2405571,.16012496,527,25.616699,29.601519,75.901329,24.098671,311601,8,64,135,156,.35099715,.29831475,.38758147,.31341285,410,20.975609,30.731707,78.048782,21.95122,311602,82,73,86,126,.37412331,.32383463,.33602107,.28288129,372,25,20.967741,78.494621,21.505377,311602,83,46,93,78,.30272952,.31937793,.47712752,.37296727,287,29.268293,17.421602,83.623695,16.376307,311602,80,20,84,50,.55238098,.36484686,.39058822,.45672023,경기도 군포시
31170,284,11.971831,42.253521,55.633804,44.366196,311701,10,65,34,120,.24754901,.31306788,.21146272,.16012496,267,23.220974,28.838951,71.535583,28.46442,311701,13,33,62,77,.218894,.29831475,.42219329,.31341285,222,21.171171,30.18018,78.37838,21.621622,311702,45,36,47,67,.42013338,.32383463,.32654908,.28288129,237,23.206751,23.206751,78.48101,21.518988,311702,49,32,55,55,.30909091,.31937793,.43848446,.37296727,225,31.555555,17.333334,81.777779,18.222221,311702,62,24,71,39,.25785482,.36484686,.58788013,.45672023,경기도 의왕시
31180,229,3.930131,59.825329,34.061134,65.938866,311801,2,106,9,137,.55150038,.31306788,.056010872,.16012496,201,11.940298,53.233829,39.303482,60.696518,311801,6,84,24,107,.53504676,.29831475,.14670618,.31341285,191,10.994764,35.602093,54.45026,45.54974,311801,7,35,21,68,.18137255,.32383463,.23034,.28288129,225,18.666666,33.333332,66.222221,33.777779,311801,8,39,42,75,.3295238,.31937793,.32165349,.37296727,269,27.509295,17.100372,82.156136,17.843866,311802,68,24,74,46,.39717978,.36484686,.48811775,.45672023,경기도 하남시
31190,728,11.401099,46.29121,52.06044,47.93956,311901,15,226,83,337,.48990026,.31306788,.16686644,.16012496,1199,36.530441,25.854879,79.065887,20.934113,311901,18,141,438,310,.41374281,.29831475,.44023097,.31341285,1297,29.144178,19.506554,83.191978,16.808018,311901,23,99,378,253,.33045778,.32383463,.49830282,.28288129,1275,34.039215,15.843137,84.392159,15.607843,311902,406,128,434,202,.30182052,.31937793,.58233702,.37296727,1413,39.419674,10.54494,85.987259,14.012739,311901,45,40,557,149,.18766643,.36484686,.74526459,.45672023,경기도 용인시
