geo2,geocodenum,p_hs_sigungu2006,p_hs_sido2006,mean2006,gini2006,theil2006,low_inc_dong2006,hi_inc_dong2006,low_inc_sigungu2006,hi_inc_sigungu2006,hsppl2006,d_inc_sigungu2006,x_inc_sigungu_low2006,x_inc_sigungu_high2006,d_inc_sido2006,x_inc_sido_low2006,x_inc_sido_high2006,geocode_str,p_hs_sigungu2010,p_hs_sido2010,mean2010,gini2010,theil2010,low_inc_dong2010,hi_inc_dong2010,low_inc_sigungu2010,hi_inc_sigungu2010,hsppl2010,d_inc_sigungu2010,x_inc_sigungu_low2010,x_inc_sigungu_high2010,d_inc_sido2010,x_inc_sido_low2010,x_inc_sido_high2010
충청남도 계룡시,34070,,,,,,,,,,,,,,,,,11-157-031,.021684302,.018360443,396.2113,.27901965,.16003469,1050,245,42,20,250,.49047619,.21702741,.45575759,.18504091,.25658396,.70886755
충청남도 금산군,34310,,,,,,,,,,,,,,,,,11-158-011,.097526014,.018360443,261.9975,.4069351,.30152616,2815,789,71,14,217,.40845069,.12682763,.6431973,.18504091,.25658396,.70886755
충청남도 부여군,34330,,,,,,,,,,,,,,,,,11-160-011,.10687422,.018360443,318.30347,.37261465,.26097205,2815,789,118,29,356,.471654,.16203049,.65929645,.18504091,.25658396,.70886755
충청남도 서천군,34340,,,,,,,,,,,,,,,,,11-161-011,.10526364,.018360443,263.07336,.36514485,.23711349,2815,789,54,12,200,.32407406,.14694211,.6612395,.18504091,.25658396,.70886755
충청남도 청양군,34350,,,,,,,,,,,,,,,,,11-162-011,.085065529,.018360443,308.42636,.39065975,.28074399,2815,789,26,8,95,.5,.18974359,.61666667,.18504091,.25658396,.70886755
충청남도 홍성군,34360,,,,,,,,,,,,,,,,,11-163-011,.052648835,.018360443,328.95157,.35047525,.23400989,2815,789,110,23,361,.53833991,.13843822,.6620959,.18504091,.25658396,.70886755
충청남도 예산군,34370,,,,,,,,,,,,,,,,,11-164-011,.068257608,.018360443,298.24313,.29948649,.1616988,2815,789,132,22,450,.34848484,.12436179,.74617076,.18504091,.25658396,.70886755
충청남도 태안군,34380,,,,,,,,,,,,,,,,,11-165-011,.11689781,.018360443,317.36185,.35154009,.24239774,2815,789,89,26,300,.35479689,.18084536,.61904764,.18504091,.25658396,.70886755
전라북도 전주시,35010,,,,,,,,,,,,,,,,,12-167-060,.07131248,.027960233,366.36591,.3450844,.21889693,1569,1089,358,157,1408,.36690032,.24943064,.5687654,.21870796,.19484414,.76377577
전라북도 군산시,35020,,,,,,,,,,,,,,,,,12-169-011,.069016844,.027960233,334.19882,.31855452,.18947892,2815,789,331,100,1315,.31694865,.20062433,.66406655,.21870796,.19484414,.76377577
전라북도 익산시,35030,,,,,,,,,,,,,,,,,12-170-011,.058476713,.027960233,339.70029,.35314128,.22853045,2815,789,329,109,1181,.37759683,.20683049,.62428653,.21870796,.19484414,.76377577
전라북도 정읍시,35040,,,,,,,,,,,,,,,,,12-171-011,.12515418,.027960233,293.64197,.39257029,.28149253,2815,789,168,34,462,.51995796,.11762737,.58121765,.21870796,.19484414,.76377577
전라북도 남원시,35050,,,,,,,,,,,,,,,,,12-172-011,.097829469,.027960233,282.24939,.37066412,.25094455,2815,789,56,19,233,.64285713,.1512654,.44583488,.21870796,.19484414,.76377577
전라북도 김제시,35060,,,,,,,,,,,,,,,,,12-173-011,.079458416,.027960233,257.2178,.37770599,.26409972,2815,789,131,14,327,.56706655,.082202792,.76918328,.21870796,.19484414,.76377577
